date	concentracaoA	concentracaoB
2/18/2002	26.82	16.63
2/25/2002	27.91	19.6
3/4/2002	22.88	13.85
4/17/2002	20.22	26.36
4/24/2002	41.26	18.62
4/29/2002	45.34	37.8
5/3/2002	29.4	39.96
5/6/2002	24.58	33.27
5/13/2002	25.51	38.91
5/16/2002	24.7	58.86
5/22/2002	19.93	33.59
5/29/2002	35.27	27.1
6/3/2002	39.48	31.24
6/10/2002	54.86	27.87
6/13/2002	62.34	27.1
6/18/2002	80.69	42.22
6/24/2002	52.49	30.98
6/27/2002	46.31	58.91
7/4/2002	47.9	38.07
7/6/2002	60.68	34.87
7/8/2002	52.77	25.79
7/11/2002	30.07	17.47
7/15/2002	59.92	27.34
7/19/2002	56.68	34.9
7/22/2002	27.04	35.55
7/24/2002	62.61	23.91
8/1/2002	26.1	34.1
8/5/2002	40.68	42.71
8/10/2002	63.22	24.69
8/12/2002	53.26	49.26
8/15/2002	72.13	28.8
8/19/2002	35.01	37.1
8/26/2002	51.71	59.52
8/29/2002	29.2	45.9
9/15/2002	45.55	49.49
9/19/2002	44.87	51.1
9/23/2002	24.19	27.78
9/27/2002	46.34	9.33
10/3/2002	49.78	21.45
10/7/2002	38.04	34.69
10/10/2002	58.04	49.44
10/13/2002	56.24	58.42
10/21/2002	40.64	28.29
10/25/2002	28.28	11.43
10/28/2002	17.73	31.9
10/31/2002	21.44	26.58
11/4/2002	26.16	8.46
11/14/2002	15.13	20.82
11/18/2002	19.62	26.09
11/25/2002	20.18	10.79
11/28/2002	34.57	21.09
12/9/2002	19.23	7.04
12/10/2002	22.48	8.35
12/16/2002	16.33	24.82
12/23/2002	22.55	6.68
12/30/2002	17.31	13.14
1/29/2003	20.2	11.92
2/1/2003	20.97	15.1
2/3/2003	12.34	17.7
2/6/2003	16.97	15.55
2/10/2003	14.45	10.59
2/25/2003	7.77	7.97
2/27/2003	35.08	12.49
3/3/2003	28.94	26.08
3/7/2003	30.74	10.56
3/10/2003	9.65	11.13
3/13/2003	1.41	11.5
3/17/2003	28.87	17.05
3/18/2003	21.8	4.14
3/24/2003	14.79	4.9
3/27/2003	27.06	12.63
4/2/2003	28.1	17.53
4/7/2003	41.69	20.25
4/10/2003	20.68	28.23
4/13/2003	19.23	33.85
4/16/2003	34.38	18.23
4/20/2003	44.68	28.32
4/25/2003	17.82	49.83
4/28/2003	31.69	59.44
